rewards,mi-tet,expr,grad_norm,entropy,first_batch_actions,first_batch_returns
64.0,,,,,1.0,-0.40073681
56.0,,,,,1.0,-0.5167309
91.0,,,,,0.0,-0.63284105
200.0,,,,,1.0,-0.74906749
159.0,,,,,1.0,-0.86541027
178.0,,,,,0.0,-0.98186946
51.0,,,,,0.0,-1.0984453
73.0,,,,,1.0,-1.2151377
57.0,,,,,1.0,-1.3319471
135.0,,,,,0.0,-1.4488733
111.0,,,,,0.0,-1.5659165
139.0,,,,,1.0,-1.683077
124.0,,,,,1.0,1.6769427
178.0,,,,,0.0,1.5873824
191.0,,,,,0.0,1.4977325
123.0,,,,,0.0,1.4079928
136.0,,,,,0.0,1.3181634
97.0,,,,,1.0,1.2282439
157.0,,,,,1.0,1.1382346
183.0,,,,,1.0,1.048135
134.0,,,,,0.0,0.95794535
82.0,,,,,1.0,0.86766541
183.0,,,,,0.0,0.77729505
124.0,,,,,0.0,0.68683422
166.0,,,,,1.0,0.59628284
123.0,,,,,1.0,0.50564086
28.0,,,,,1.0,0.41490811
161.0,,,,,0.0,0.32408452
186.0,,,,,1.0,0.23317005
133.0,,,,,0.0,0.14216457
116.0,,,,,1.0,0.051067986
180.0,,,,,0.0,-0.040119782
103.0,,,,,0.0,-0.13139883
129.0,,,,,1.0,-0.22276925
200.0,,,,,1.0,-0.31423113
85.0,,,,,0.0,-0.40578458
172.0,,,,,1.0,-0.49742964
155.0,,,,,1.0,-0.58916646
200.0,,,,,0.0,-0.68099511
160.0,,,,,1.0,-0.77291566
200.0,,,,,0.0,-0.86492825
135.0,,,,,0.0,-0.95703292
200.0,,,,,1.0,-1.0492299
151.0,,,,,1.0,-1.141519
200.0,,,,,0.0,-1.2339005
200.0,,,,,0.0,-1.3263745
200.0,,,,,1.0,-1.4189411
200.0,,,,,0.0,-1.5116004
170.0,,,,,0.0,-1.6043524
115.0,,,,,0.0,-1.6971972
200.0,,,,,0.0,1.6166743
200.0,,,,,0.0,1.3867213
200.0,,,,,0.0,1.156538
161.0,,,,,1.0,0.92612445
200.0,,,,,0.0,0.69548023
200.0,,,,,1.0,0.46460509
200.0,,,,,1.0,0.23349889
200.0,,,,,0.0,0.0021613177
166.0,,,,,0.0,-0.22940782
200.0,,,,,1.0,-0.46120873
80.0,,,,,0.0,-0.69324172
130.0,,,,,1.0,-0.92550695
99.0,,,,,0.0,-1.1580046
167.0,,,,,0.0,-1.3907351
200.0,,,,,0.0,-1.6236986
200.0,,,,,0.0,1.609226
182.0,,,,,1.0,1.3626428
200.0,,,,,0.0,1.1158128
200.0,,,,,1.0,0.86873573
200.0,,,,,0.0,0.62141126
103.0,,,,,0.0,0.37383929
103.0,,,,,0.0,0.12601948
92.0,,,,,0.0,-0.1220484
200.0,,,,,0.0,-0.37036461
153.0,,,,,1.0,-0.61892933
200.0,,,,,1.0,-0.86774296
200.0,,,,,1.0,-1.1168056
200.0,,,,,0.0,-1.3661175
87.0,,,,,1.0,-1.615679
200.0,,,,,0.0,1.6495162
195.0,,,,,0.0,1.4934658
196.0,,,,,1.0,1.3372592
107.0,,,,,1.0,1.1808962
200.0,,,,,0.0,1.0243766
200.0,,,,,0.0,0.8677004
135.0,,,,,1.0,0.71086735
150.0,,,,,0.0,0.55387735
200.0,,,,,1.0,0.39673018
185.0,,,,,1.0,0.2394257
200.0,,,,,1.0,0.081963763
185.0,,,,,0.0,-0.075655788
136.0,,,,,0.0,-0.23343313
200.0,,,,,1.0,-0.39136839
159.0,,,,,0.0,-0.54946178
200.0,,,,,0.0,-0.70771337
200.0,,,,,0.0,-0.86612338
167.0,,,,,0.0,-1.0246919
183.0,,,,,0.0,-1.1834193
176.0,,,,,1.0,-1.3423055
175.0,,,,,1.0,-1.5013508
143.0,,,,,1.0,-1.6605552
200.0,,,,,1.0,1.6289105
200.0,,,,,0.0,1.4263142
169.0,,,,,1.0,1.2235152
176.0,,,,,0.0,1.0205132
187.0,,,,,0.0,0.81730789
200.0,,,,,0.0,0.61389917
200.0,,,,,1.0,0.4102869
178.0,,,,,0.0,0.20647082
200.0,,,,,0.0,0.0024507006
